source_file,sequence_id,state_column,status,ladder_name,n_perm,exclusion_reason,n_events,n_states,n_unordered_nonself_pairs,n_directed_nonself_pairs,self_transition_rate,transition_entropy_norm,ladder_distance,null_mean,null_sd,z_score,raw_p,fdr_q
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P19,fes_phase,tested,5-10-20,1000.0,,10.0,4.0,5.0,7.0,0.0,0.9708357627222188,0.45,0.4666333333333334,0.03943910776119024,0.42174720163677987,0.42357642357642356,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P2,fes_phase,tested,5-10-20,1000.0,,9.0,4.0,4.0,6.0,0.125,0.9795697645434637,0.5,0.5202666666666667,0.027578585100289526,0.7348697039013031,0.2777222777222777,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P20,fes_phase,tested,5-10-20,1000.0,,13.0,5.0,6.0,9.0,0.0,0.9731973151744968,0.3166666666666667,0.3063333333333333,0.042255926698143736,-0.2445416333464851,0.6583416583416584,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P21,fes_phase,tested,5-10-20,1000.0,,5.0,5.0,4.0,4.0,0.0,0.9999999999971146,0.4666666666666666,0.46666666666666673,1.110778552818352e-16,0.999499874937461,1.0,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P22,fes_phase,tested,5-10-20,1000.0,,8.0,4.0,4.0,5.0,0.1428571428571429,0.97550375900276,0.5166666666666667,0.5245666666666666,0.028568933507212284,0.27652414809273634,0.5864135864135864,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P23,fes_phase,tested,5-10-20,1000.0,,4.0,3.0,2.0,2.0,0.33333333333333337,0.9999999999972693,0.7000000000000001,0.68615,0.017682104611447057,-0.783277800032571,1.0,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P24,fes_phase,tested,5-10-20,1000.0,,11.0,5.0,6.0,8.0,0.0,0.9739760316252737,0.3333333333333333,0.3485333333333333,0.037160415121572074,0.40903741118801995,0.45754245754245754,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P25,fes_phase,tested,5-10-20,1000.0,,6.0,4.0,3.0,4.0,0.0,0.9609640474407958,0.5666666666666667,0.5451166666666666,0.02706878475286405,-0.7961199661067142,0.8631368631368631,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P26,fes_phase,tested,5-10-20,1000.0,,9.0,4.0,5.0,8.0,0.0,0.9999999999961529,0.4333333333333333,0.4804333333333333,0.041210293474910946,1.1429183349221905,0.14485514485514486,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P3,fes_phase,tested,5-10-20,1000.0,,11.0,5.0,6.0,9.0,0.09999999999999998,0.9999999999956568,0.3166666666666667,0.35691666666666666,0.0373712709131954,1.0770305375348663,0.18081918081918083,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P4,fes_phase,tested,5-10-20,1000.0,,11.0,5.0,7.0,10.0,0.0,0.9999999999956568,0.26666666666666666,0.3331,0.04345048459198061,1.5289434388861693,0.07692307692307693,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P5,fes_phase,tested,5-10-20,1000.0,,6.0,5.0,4.0,5.0,0.0,0.9999999999968934,0.45,0.4431500000000001,0.0218949816980259,-0.3128570781412219,0.6433566433566433,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P6,fes_phase,tested,5-10-20,1000.0,,4.0,3.0,2.0,2.0,0.33333333333333337,0.9999999999972693,0.7000000000000001,0.6866333333333333,0.017303450794838866,-0.7724856056257663,1.0,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P7,fes_phase,tested,5-10-20,1000.0,,13.0,5.0,7.0,9.0,0.0,0.9731973151744968,0.2833333333333334,0.3065,0.043187622373567144,0.5364191264403966,0.4095904095904096,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P8,fes_phase,tested,5-10-20,1000.0,,12.0,5.0,7.0,8.0,0.09090909090909094,0.9766146686686171,0.3,0.3243833333333333,0.04393676194442726,0.5549642771621222,0.3946053946053946,1.0
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,P9,fes_phase,tested,5-10-20,1000.0,,8.0,5.0,6.0,7.0,0.0,0.9999999999964029,0.35000000000000003,0.3899666666666667,0.034584445371285286,1.1556254911015604,0.2177822177822178,1.0
IDPC_Reproduction_mm_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,,,excluded,,,no fes_phase or cluster column,,,,,,,,,,,,
IDPC_Reproduction_mm_random/event_level_with_fes_phase_TRUE_RICCI.csv,,,excluded,,,no fes_phase or cluster column,,,,,,,,,,,,
IDPC_Reproduction_mm_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,,,excluded,,,no fes_phase or cluster column,,,,,,,,,,,,
IDPC_Reproduction_mm_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,,,excluded,,,no fes_phase or cluster column,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P11,cluster,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P13,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
